0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
79   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ophelia/spotlight/jetty/contexts at interval 0
92   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ophelia/spotlight/jetty/contexts/solr.xml
1945 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2069 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
2132 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
2132 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/ophelia/spotlight/jetty/solr
2133 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/ophelia/spotlight/jetty/solr/'
2139 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ophelia/spotlight/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
2140 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ophelia/spotlight/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
2140 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ophelia/spotlight/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
2141 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ophelia/spotlight/jetty/solr/lib/contrib/' to classloader
2415 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/ophelia/spotlight/jetty/solr/solr.xml
2641 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/ophelia/spotlight/jetty/solr
2652 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1432536094
2653 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/ophelia/spotlight/jetty/solr/]
2660 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/ophelia/spotlight/jetty/solr/lib
2664 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ophelia/spotlight/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
2664 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ophelia/spotlight/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
2665 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ophelia/spotlight/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
2665 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ophelia/spotlight/jetty/solr/lib/contrib/' to classloader
2709 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2710 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
2714 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2714 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2714 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2716 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2716 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2717 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
2717 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
3218 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
3220 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
3225 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
3230 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
3344 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /home/ophelia/spotlight/jetty/solr
3369 [main] INFO  org.apache.solr.core.CoresLocator  – Found core blacklight-core in /home/ophelia/spotlight/jetty/solr/blacklight-core/
3370 [main] INFO  org.apache.solr.core.CoresLocator  – Found 1 core definitions
